"id;estimated_deliveries_volumes;created_at"
"012064f7-f28c-43fb-a29c-eb034723be05;[11 - 50];10/05/2020"
"0121bbbe-6f46-4fe4-93e3-7276bbac2fe5;[1 - 10];21/01/2019"
"0122e907-2b6f-4aa7-9d0d-4ffe91035642;[101  - 250];13/02/2017"
"01252370-bca9-4f4b-a314-6621aef5deca;[11 - 50];05/05/2020"
"0125dd9d-512f-4db0-8f48-8807d402b234;[101  - 250];02/04/2020"
"0127563e-b7a5-41c4-aaf4-10c4752b776a;[11 - 50];09/07/2020"
"0127741d-969f-4ef4-aedb-fc6e55e06374;[51 - 100];19/04/2019"
"0127bf49-175e-4dd0-ac0a-49404073bf66;;24/02/2016"
"0128b9cb-c3bb-48cc-9ea8-be91fe374255;[51 - 100];14/04/2020"
"01294b6e-aa1d-45f5-b910-857c1f6df30f;[1 - 10];24/02/2019"
"01333525-da1b-40d8-9a54-3d52ed777660;[51 - 100];20/05/2019"
"01338736-00d7-41a9-8741-8d6d233c9abe;[1 - 10];25/05/2017"
"0133e8a9-052f-4d65-a2ba-48d88c261312;[1 - 10];04/08/2016"
"0136bb34-07de-495c-be06-e6feaa32f944;[11 - 50];10/07/2019"
"0137ee4f-7218-418f-af9c-a893622cb4c2;[11 - 50];21/03/2019"
"01390f6c-21d2-4e03-95b9-00184f9d13ad;[11 - 50];20/06/2016"
"013c703d-eed9-4ff7-89f2-ab66d9c01cf7;[1 - 10];25/06/2019"
"01409820-7cb7-4a90-b56d-52f5b80c2a24;[11 - 50];21/01/2020"
"0144e2cb-9a92-4d78-8ea4-31e3e35aeacc;[1 - 10];26/09/2019"
"0144fef8-eef5-4908-a38a-e4d3b0c96aab;[11 - 50];14/07/2019"
"0145bc94-30ed-45d1-8eec-02cbb32aaca1;[1 - 10];18/05/2019"
"014a0dce-e5c7-46d3-9cbd-3a9d0feb8f08;[1 - 10];20/06/2018"
"014b5506-f585-4e70-a323-b8d5dbdf3095;[1 - 10];30/01/2020"
"014bfd62-af65-4000-bb13-39d0e6bc4d9e;[1 - 10];20/12/2018"
"014cbc6c-bd72-4ab6-a9a7-851df5c4e29a;[11 - 50];05/02/2019"
"014df7ef-4d52-4a8d-8b08-88bc57194440;[101  - 250];07/05/2020"
"014f6171-2a7d-47fe-8d2e-c695dd970047;[11 - 50];04/06/2019"
"0153318e-e31c-44e8-9727-ee3edd65887b;[11 - 50];08/12/2018"
"0158d741-7c7d-44ea-8798-2ae645c03b96;[1 - 10];06/03/2020"
"015c9750-39d9-4362-8095-aa9aeb2d3756;[1 - 10];05/05/2020"
"01603e3f-17d4-4f0e-9cae-885b773c3894;[1 - 10];04/07/2018"
"01644fd2-3cca-4911-99f8-534fc50bdae7;[1 - 10];21/06/2019"
"016a2d71-5d9c-429d-ac61-2f5be5f160cb;[1 - 10];15/04/2020"
"016b7d24-1223-4cee-a24d-4c3bb4d1acf8;[11 - 50];01/04/2020"
"016f7eba-c4bb-4ecf-aca1-635340c639ea;[1 - 10];05/05/2020"
"0171bdd0-6322-4550-bc83-3a7b473814c9;[11 - 50];18/10/2019"
"01728fa3-4a8e-4080-b2dd-0359ff91a75c;[1 - 10];29/06/2016"
"0179d751-b0ea-40e5-933d-1131a09f511a;[11 - 50];22/12/2018"
"017c2e51-9f98-498d-85df-6ec8e858ce6a;[11 - 50];19/01/2017"
"017e3fcc-5664-425a-b83f-8eb7df980010;[1 - 10];12/08/2019"
"0183d0b6-5845-4f0d-9d13-ec28d419f29d;[1 - 10];07/04/2016"
"018456ac-b2f0-4f28-92da-aedcf63e1f48;[1 - 10];23/03/2016"
"01849ec9-8799-4a79-a03f-82a366302332;[101  - 250];12/06/2020"
"0185982e-fcab-4b5e-9eeb-cfc9ab5d295d;[1 - 10];14/11/2019"
"0185d309-6309-4228-b60b-d4404af1c01f;[1 - 10];25/09/2017"
"01897210-cffc-4c99-938a-2eb97bd27c33;[101  - 250];13/04/2018"
"018a1229-9adb-47c3-96e2-8d609af83d6b;[1 - 10];15/03/2018"
"018abd95-2f20-4bdb-8e1c-6d3a9e640b62;[11 - 50];29/07/2020"
"018d8492-5a56-4ebc-a038-2683a42fcd27;;13/10/2016"
"019218a5-d342-4635-8aa7-d0ed8274598f;[1 - 10];26/02/2019"
"0192e9a6-4e7c-4e02-a1a2-1ec712d0605c;[1 - 10];07/05/2020"
"01978b9a-7f2c-4d04-bcde-0bbefa00ccb0;[11 - 50];11/06/2019"
"0199cc4b-26e7-401a-9528-5c1987ee4b9f;[11 - 50];04/06/2020"
"019ba00b-142a-46ea-b30c-d59c01b1ee12;[1 - 10];24/05/2019"
"019c9878-8cdb-436f-b020-86d4384eea53;[11 - 50];29/07/2020"
"01a0f479-3f08-4a17-9e31-b7bff7cfd079;[11 - 50];17/04/2020"
"01a24429-2c6b-443f-99cc-c2c707a05ad0;[11 - 50];05/02/2017"
"01a4b31a-7254-4c92-ac0d-37908cec9bef;[1 - 10];15/12/2018"
"01a5374a-5926-4212-a697-13966a4e167a;[1 - 10];05/09/2019"
"01b00b84-a3f3-4475-8bdf-9453c6e43c00;[1 - 10];02/07/2020"
"01b25fb8-f0a7-4ad9-921f-b81b2099f93a;[11 - 50];08/11/2019"
"01b4be1e-b40d-4a06-a7c0-8a139720df6e;[1 - 10];26/07/2017"
"01b92633-2793-4022-85c2-f009c8076d20;[1 - 10];01/04/2019"
"01b9deea-2471-47d2-bef3-bb00c86fee6c;[1 - 10];15/02/2020"
"01be4f17-9898-443a-a98f-5d2ef7565426;[11 - 50];21/05/2020"
"01c5e72d-e6b8-4b20-9dd6-e51b54a91775;[101  - 250];19/04/2017"
"01c93eb2-6918-407e-8128-b191cda5f91d;[11 - 50];24/12/2016"
"01d25334-6fdf-4c10-883b-d4b6617939f5;[11 - 50];22/06/2018"
"01d6a3df-dc4f-454f-a8a0-b50ac5fc1cce;[1 - 10];12/11/2019"
"01d753fe-a30b-41d2-b0f0-00f55603416c;[1 - 10];31/03/2020"
"01d8c967-de36-4fa6-b343-bae162f25a22;[11 - 50];19/05/2020"
"01dd41e9-95fc-4b7b-af4c-e1247c083eb1;[11 - 50];12/05/2020"
"01df1679-2fea-46df-b921-dd4e2cebc3eb;[101  - 250];08/05/2017"
"01df21ba-2cff-46c4-ad68-a0e4c07d16e0;[1 - 10];26/05/2020"
"01e0c0ec-f860-4236-96fe-4181a03167cf;[101  - 250];20/04/2017"
"01e646cd-584f-4f91-ac34-ced239fca0a3;[51 - 100];20/05/2020"
"01ed283b-eb5c-48ef-9401-63bd0ec1b917;[1 - 10];08/02/2017"
"01eef702-6702-481d-a6cf-d07ca8d8f1f3;[51 - 100];10/04/2017"
"01f2f467-52f4-4a20-94e6-fb238be9f016;[51 - 100];22/02/2018"
"01f3605c-4a74-4a83-bba5-bc5f824e68da;[1 - 10];20/04/2016"
"01f81bcd-ff87-45be-ad56-b5426cc10994;[1 - 10];04/04/2020"
"01fc688a-51d4-4e86-a1d2-79619d2698c5;[11 - 50];25/02/2020"
"01fc72bd-5883-4a54-ad5e-c6e4d87950b2;[1 - 10];01/07/2020"
"01fd1b8f-a329-45b8-86a4-5ec6246f98d0;[1 - 10];25/01/2018"
"020229e9-b5c6-4fb4-8c1e-631ad305a4fe;[11 - 50];08/07/2020"
"020749de-45ac-43a7-9046-229a29c96bfe;[1 - 10];18/01/2019"
"0208690e-8efa-4a0f-8075-7b502ebba725;[1 - 10];29/03/2016"
"02091c0d-cd30-4a74-b2d0-8e96bc5a909d;[1 - 10];19/11/2018"
"0209929f-481e-41fd-8fb3-d95634378751;[11 - 50];10/07/2020"
"020b3750-b8b6-4cd9-9418-db0c3e850995;[1 - 10];20/03/2020"
"020b878f-6971-4348-a6ea-6d1d9ddba517;[1 - 10];11/05/2020"
"0211083f-c89f-4a6c-9bdb-4aac7868984b;[1 - 10];20/10/2017"
"0212ea63-ea8f-4d39-8eef-a9d1480b30ac;[1 - 10];14/11/2019"
"0215dc0a-7493-41c7-b18f-6c0ba0b0a648;[1 - 10];24/11/2016"
"021882ae-1130-4e57-9c90-245992b168b1;[11 - 50];30/04/2019"
"0218b98b-6e12-4a8c-a185-de165a4c2982;[51 - 100];23/05/2017"
"022111be-b198-4393-aa11-83a7ccb99643;[1 - 10];24/06/2020"
"022121f9-fa0f-4d46-97d9-ed9693b925f8;[11 - 50];20/02/2019"
"0221ace2-d487-49d8-b1c3-13f3d20bedf3;[1 - 10];19/07/2020"
"0222d6bb-041f-477f-8a79-e18ec06d5af0;[11 - 50];29/06/2020"
"0225a2a3-a351-4725-ad7d-31f3b9993530;[11 - 50];26/08/2016"
"02262a86-ce5d-4f2c-b73e-5e605c2890b5;[51 - 100];08/06/2017"
"02292d14-9bba-45dd-9299-62603de27e09;[1 - 10];12/12/2017"
"022d7fbc-99c9-4736-9997-7623d1d28551;[11 - 50];13/06/2017"
"02336c45-b767-47d2-a87b-39261570cbd6;[11 - 50];02/12/2019"
"02379f49-1dc6-40a8-93da-f53ff085c9d2;[1 - 10];15/07/2019"
"0237dd52-5300-4c23-bf34-ca6fd6fb939c;[51 - 100];23/05/2017"
"023d3ca3-13ea-4230-8461-79007df26aa1;[51 - 100];19/12/2016"
"023ee977-f22c-4c32-91b8-3e2f4bd91215;[51 - 100];30/03/2020"
"023f8cd0-9b65-4f21-9ed8-34a5842e3908;[1 - 10];27/06/2020"
"0244191b-be67-4109-a933-03011a00077e;[11 - 50];13/11/2017"
"024832bd-25a1-4233-aee0-d8e1648b0f82;[1 - 10];08/10/2018"
"02498b4d-83ef-47c3-b11f-e214caeaeda0;[101  - 250];17/11/2016"
"024f9c5a-5b04-4126-b944-4375b4ba7908;[11 - 50];29/07/2016"
"0250a226-23a4-441d-b875-650d4bc2c9fd;[11 - 50];16/11/2016"
"02543737-dabc-4546-bc41-a539f12dd441;[1 - 10];13/04/2020"
"02581d3e-01fa-4cfc-99f1-161c9aa19ce7;[1 - 10];06/07/2020"
"0259ccca-f7fd-4575-ac8d-34f93c08ae9f;[51 - 100];20/07/2020"
"02602c1e-a1b8-49cc-b4e2-7901703e6da5;[51 - 100];14/02/2020"
"02631e57-2382-4344-b0ff-c1eb44539eeb;[1 - 10];21/05/2016"
"02655757-6ebd-4745-93b4-54b9cb635275;[1 - 10];05/06/2020"
"0266d0d0-5f54-4747-886a-012e37c92faf;[1 - 10];15/11/2019"
"0267fe35-8d7a-4deb-90ae-270c205f80fa;[11 - 50];09/07/2020"
"026a33a3-a3bf-4e80-9f5e-0ddce0114785;[1 - 10];04/11/2018"
"026bb8ec-70ab-498d-9d39-02b49d6d6a16;[101  - 250];11/04/2019"
"026c08c0-1d2e-429b-898d-a4e0ff7d943b;[1 - 10];27/07/2016"
"026cf83e-ce58-44c8-bc37-0200eeaa3d54;[11 - 50];15/07/2019"
"026fa365-a580-471a-939a-b2b668283e12;[11 - 50];04/04/2018"
"02761a68-fb34-4b1d-980a-b66eb2f10e8b;[11 - 50];14/05/2020"
"0277d25e-5f96-4488-b375-b79ded6176fe;[11 - 50];14/12/2018"
"027da7f2-02e2-4ef6-a99f-e73dfa4f061c;[51 - 100];31/01/2019"
"027dcf62-180d-421a-a9aa-da5ce0aa7b97;[11 - 50];22/07/2020"
"02891c50-5f68-4731-a24a-a5a68601a4ff;[11 - 50];19/04/2020"
"028a6bca-1d91-47bd-b40b-8b6dcde141f0;[11 - 50];26/09/2017"
"028e04f8-31b8-4be8-9327-8f43919c2a72;[51 - 100];17/06/2020"
"02918cef-b9da-4648-9f4a-93cc0d306b77;[1 - 10];22/04/2020"
"029357a8-907a-47a6-9bdf-50e258715556;[1 - 10];19/12/2019"
"0298e7e5-962a-4172-b88f-894368ecd735;[1 - 10];03/04/2016"
"029abc76-54a1-44db-bbde-d5f4bf47e580;[1 - 10];10/11/2016"
"029afdce-0218-4559-86f0-14b1886112bf;[51 - 100];14/11/2017"
"029c70ca-d626-44e8-976a-85e15989bdc7;[11 - 50];01/12/2019"
"02ad02d3-cc08-47b7-b3f3-052727644a9c;[1 - 10];01/07/2020"
"02b00750-8026-48f2-9328-49a5bb37b9d1;[51 - 100];08/04/2017"
"02b424e5-4d05-408d-8e55-8c7dcd11d8af;[51 - 100];04/07/2016"
"02b826bf-cc96-4aad-8f68-c5c96f8ae15e;[1 - 10];25/04/2017"
"02b8b8cb-ce1b-4445-a271-a662faf84f5c;[1 - 10];24/03/2017"
"02c083ba-b17a-4961-8403-5c5d6d544817;[1 - 10];02/01/2018"
"02c60cb5-da0c-41b0-bad2-fbfcc52d7039;[11 - 50];08/06/2020"
"02c66e5b-fe68-4f7e-8e87-cee9c35f7a06;[1 - 10];02/07/2019"
"02c73d6b-3ec8-4b68-84eb-aa0f83a3d148;[51 - 100];14/06/2020"
"02c9500f-c522-4bc6-b9f7-f3c96549d1fd;[1 - 10];25/08/2016"
"02ce5ce2-c8b2-45a4-a65a-6d2d46bc4e20;[51 - 100];23/05/2017"
"02d1c085-91e1-4ff1-83d5-c744ef12fdaa;[1 - 10];03/05/2020"
"02d60aed-585d-4749-9c6b-2eb735191045;[101  - 250];07/02/2018"
"02d6dafd-4ef5-4038-81d1-27e4d11728f3;[1 - 10];05/07/2020"
"02e15be8-04cc-4c09-a6a5-b692ccf4ec02;[11 - 50];01/04/2016"
"02e279b3-f0b4-414c-b6f3-ddd9af160dc8;[1 - 10];02/04/2020"
"02e80f3d-c71a-437f-afed-97a7f33b1eb0;[101  - 250];24/01/2018"
"02f3df82-6e53-4e6c-8f03-c588fb4d49f5;[1 - 10];04/08/2016"
"02f4f8f6-1947-49ce-a5bc-2f2a3416da93;;24/02/2016"
"02f530bd-6b79-4c08-b973-5b8f965ab289;[1 - 10];14/01/2020"
"02f62727-553d-44f6-a040-2a188fe3e556;[11 - 50];28/11/2016"
"02f6ebd5-b20e-45be-9bfa-8f0bfbce25fd;[1 - 10];08/10/2019"
"02fa1994-90a7-4fdf-a3ee-ad6c7ca64064;[1 - 10];01/05/2020"
"02fa9360-664e-491b-aaef-9afb8689202f;[11 - 50];30/03/2020"
"02fdffd0-e3eb-4ccd-bd23-c1656595e74c;[1 - 10];27/04/2020"
"03006b91-8211-4552-9091-fbf314204d23;[11 - 50];26/09/2016"
"03065ad1-b692-4041-b646-d8834b494b72;[1 - 10];14/05/2020"
"030c8ce7-754b-4d43-9f53-3c3b0522cf16;[1 - 10];10/02/2020"
"03151528-85ad-4eae-8863-037b8a5039b8;[1 - 10];20/02/2018"
"031b5cbc-47b0-46d0-91e5-2a8d89d26351;[1 - 10];23/01/2020"
"031c9da1-99f1-4057-844f-69d45b5765b1;;04/02/2016"
"031d440c-e52f-4106-bf64-0e3c6b6fa42c;[1 - 10];21/11/2017"
"031f5e25-a912-4034-a97f-1c05cced95f2;[1 - 10];06/11/2019"
"032047b9-a69c-4835-beda-8b65fb6802e5;[51 - 100];14/04/2020"
"03237d0c-d747-48cb-8220-53e246dccfae;[11 - 50];15/11/2019"
"0323b0ef-2fe6-4274-9c81-1b6fd878a1c8;[101  - 250];10/04/2020"
"0324a61e-af7a-4caa-9cdb-f6df44feed15;[11 - 50];26/03/2019"
"032bd503-d64a-4d01-9fd4-ed94228a0abe;[11 - 50];23/01/2019"
"032d57f2-996e-4095-9779-722f12b0f8b8;[1 - 10];26/05/2017"
"032e8557-7975-4f02-aba3-ba51136a5137;[51 - 100];22/06/2020"
"03378b8f-8741-48e3-badf-ba898124dcfd;[101  - 250];06/11/2017"
"033e2f26-91e0-474d-828e-d15fe9ab392c;[1 - 10];22/04/2016"
"033ee41c-b0cc-45cf-a9a3-609a8831148f;[101  - 250];12/05/2020"
"033f36b2-09f1-43f7-b7f7-cdff0a426555;[1 - 10];03/12/2019"
"03409e83-b85b-425d-baec-da81a2b6edc4;[1 - 10];08/01/2019"
"0343d66b-1f57-4bcb-9862-f07f55d9a8bc;;22/02/2016"
"034453ff-2cff-4665-bb22-e598a82009d5;[1 - 10];13/10/2016"
"03496b43-e042-4e31-8c8e-d8813b584f63;[1 - 10];12/02/2020"
"0349a6fb-89c1-4ea9-a180-d337eef2470f;[51 - 100];14/12/2019"
"034af602-a7c5-40a3-8724-ea5845dccc64;[11 - 50];17/01/2020"
"034d65a7-3225-4392-8af1-cde69e9321e2;[11 - 50];08/10/2018"
"034dd1c7-9e08-49b2-928f-958948b83a94;[1 - 10];24/05/2019"
"034ddb2f-9105-4b9b-a5ac-3856bbadc54f;[1 - 10];01/02/2017"
"0351be8f-b5c2-4711-a506-168da090f008;[11 - 50];16/07/2020"
"03558da9-7140-4028-aa5d-4fd5c29884b6;[11 - 50];13/09/2016"
"0357ad2f-a81d-4c5b-b42e-b7decc21d58a;[11 - 50];30/09/2017"
"03587094-362d-421d-a714-2bdfe399d874;[1 - 10];13/10/2018"
"035a6308-6b9e-4ef0-8994-17f4f898ba2d;[1 - 10];30/09/2017"
"035a904d-8752-44fa-890b-372e4772a5d3;[101  - 250];06/04/2020"
"035d8e81-99c6-4e77-bd1d-379b1aa31c50;[1 - 10];07/02/2019"
"035feb99-b6f9-4113-9128-31b9a34060c1;[51 - 100];22/10/2018"
"0361e155-57d0-4d64-a602-4b25d3f75652;[1 - 10];12/01/2020"
"03641051-91f7-4c04-9552-948b40052863;[11 - 50];08/10/2019"
"0364f86c-04c2-4bdf-9d0e-2a4ed5870c9f;[1 - 10];18/10/2019"
"03662c8e-a2ea-4654-84f3-b6dd62058fe6;[1 - 10];15/10/2019"
"03677d8b-92b7-426f-83f2-484abf1bc6ac;[51 - 100];20/08/2018"
"036aba32-8c58-4038-b234-ee0c95eec028;[101  - 250];11/09/2019"
"036f0f2a-500b-4bed-b2e0-cd02e19ff098;[101  - 250];28/02/2018"
"0373d5eb-56fd-4363-9992-7f9a3097c6e9;[1 - 10];25/05/2020"
"0376c1c6-56f1-4195-bf86-3871e32c068f;;09/02/2016"
"03778446-932c-48b1-96d5-2e3438b36c8f;[1 - 10];12/04/2019"
"037c8ed6-10fc-4096-bf21-432eecade0a9;[1 - 10];03/01/2017"
"037d34cf-a9c6-453a-9685-8224145e9acd;[101  - 250];05/09/2017"
"0381a70a-8be2-4101-ae32-046d639f24fe;[1 - 10];20/06/2018"
"0382bde5-4b1b-44e1-a3cb-61d8cd8900a6;[1 - 10];18/06/2020"
